t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775393221,82,18007,1649.4634146341464,12,3783.557350832685,72.0,779.5,12135.65,16630.240000000005,18007.0,18007.0
1775393251,83,18007,1629.7590361445782,12,3764.698541976507,72.0,774.0,12132.199999999999,16588.519999999986,18007.0,18007.0
1775393281,84,18007,1610.5595238095239,12,3746.086064633746,72.0,772.5,12128.75,16546.799999999996,18007.0,18007.0
1775393311,85,18007,1591.7882352941176,12,3727.740612444684,72.0,771.0,12125.300000000001,16505.08,18007.0,18007.0
1775393341,86,18007,1573.4883720930231,12,3709.631685361725,71.0,769.5,12121.849999999999,16463.36000000001,18007.0,18007.0
1775393371,87,18007,1555.5977011494253,12,3691.7743652857093,70.0,768.0,12118.4,16421.63999999999,18007.0,18007.0
1775393401,88,18007,1538.1022727272727,12,3674.1633656787676,69.0,766.5,12114.949999999999,16379.919999999998,18007.0,18007.0
1775393431,89,18007,1520.943820224719,11,3656.8122741223133,68.0,765.0,12111.5,16338.200000000006,18007.0,18007.0
1775393461,90,18007,1504.2111111111112,11,3639.6736441376456,65.5,763.5,12108.050000000001,16296.479999999985,18007.0,18007.0
1775393491,91,18007,1487.868131868132,11,3622.752864294074,63.0,762.0,12104.599999999999,16254.759999999993,18007.0,18007.0
1775393521,92,18007,1471.8478260869565,11,3606.0680298531934,62.5,746.0,12101.15,16213.04,18007.0,18007.0
1775393552,93,18007,1457.2903225806451,11,3589.1629143389687,63.0,730.0,12097.699999999999,16171.320000000009,18007.0,18007.0
1775393582,94,18007,1441.936170212766,11,3572.9167110134176,62.5,714.0,12094.25,16129.599999999988,18007.0,18007.0
1775393612,95,18007,1429.578947368421,11,3555.9013956692165,63.0,698.0,12090.8,16087.879999999996,18007.0,18007.0
1775393642,96,18007,1415.0416666666667,11,3540.0032974015767,62.5,695.75,12087.349999999999,16046.160000000005,18007.0,18007.0
1775393672,97,18007,1401.4948453608247,11,3524.0440817443414,63.0,693.5,12083.9,16004.439999999984,18007.0,18007.0
1775393702,98,18007,1387.3061224489795,11,3508.6445069936876,62.5,691.25,12080.449999999999,15962.719999999992,18007.0,18007.0
1775393732,99,18007,1373.3939393939395,10,3493.4409089098,62.0,689.0,12077.0,15921.0,18007.0,18007.0
1775393762,100,18007,1359.77,10,3478.421556154922,60.0,687.5,11814.049999999941,15918.58,17986.13999999999,18007.0
1775393792,101,18007,1346.4257425742574,10,3463.583021515536,58.0,686.0,11551.099999999955,15916.16,17965.28000000001,18007.0
1775393822,102,18007,1333.3921568627452,10,3448.906815344244,57.0,684.5,11288.14999999997,15913.74,17944.42,18007.0
1775393852,103,18007,1320.5728155339805,10,3434.42390237643,56.0,683.0,11025.199999999986,15911.32,17923.559999999987,18007.0
1775393882,104,18007,1308.0865384615386,10,3420.0825604937854,55.5,640.5,10762.25,15908.9,17902.700000000004,18007.0
1775393912,105,18007,1295.8095238095239,10,3405.924256394003,55.0,598.0,10499.299999999941,15906.48,17881.839999999997,18007.0
1775393942,106,18007,1283.745283018868,10,3391.941725300522,55.0,555.5,10236.349999999955,15904.06,17860.979999999985,18007.0
1775393972,107,18007,1271.8691588785048,10,3378.1385297402066,55.0,513.0,9973.39999999997,15901.640000000001,17840.120000000003,18007.0
1775394002,108,18007,1260.1944444444443,10,3364.504077989796,54.0,511.5,9710.449999999986,15899.22,17819.259999999995,18007.0
1775394032,109,18007,1248.9449541284403,10,3350.9503097514557,53.0,510.0,9447.5,15896.8,17798.400000000012,18007.0
1775394062,110,18007,1237.9636363636364,10,3337.5313733941625,51.5,508.5,9184.549999999941,15894.380000000001,17777.54,18007.0
1775394092,111,18007,1227.117117117117,10,3324.290871035475,50.0,507.0,8921.599999999955,15891.96,17756.67999999999,18007.0
1775394122,112,18007,1216.4375,10,3311.212183201899,49.5,502.5,8658.64999999997,15889.539999999999,17735.82000000001,18007.0
1775394152,112,18007,1216.4375,10,3311.212183201899,49.5,502.5,8658.64999999997,15889.539999999999,17735.82000000001,18007.0
1775394182,113,18007,1205.8053097345132,10,3298.3338295331755,49.0,498.0,8395.699999999984,15887.119999999999,17714.96,18007.0
1775394212,114,18007,1195.7894736842106,10,3285.447883621716,49.5,493.5,8132.75,15884.7,17694.099999999988,18007.0
1775394242,115,18007,1185.5652173913043,10,3272.8433641863853,49.0,489.0,7869.79999999994,15882.279999999999,17673.240000000005,18007.0
1775394272,116,18007,1175.9568965517242,10,3260.2253413509325,49.5,481.25,7606.849999999955,15879.859999999999,17652.379999999997,18007.0
1775394302,117,18007,1166.059829059829,10,3247.906979331401,49.0,473.5,7343.8999999999705,15877.44,17631.519999999986,18007.0
1775394332,118,18007,1157.0254237288136,10,3235.4859645343136,49.5,465.75,7080.949999999985,15875.02,17610.660000000003,18007.0
1775394362,119,18007,1147.3949579831933,10,3223.459506515299,49.0,458.0,6818.0,15872.599999999999,17589.799999999996,18007.0
1775394392,120,18007,1137.9416666666666,10,3211.556978080785,49.0,423.0,6816.549999999999,15870.18,17568.939999999984,18007.0
1775394422,121,18007,1128.8347107438017,10,3199.716040388343,49.0,388.0,6815.099999999999,15867.76,17548.08,18007.0
1775394452,122,18007,1119.6639344262296,10,3188.0762603015696,48.0,353.0,6813.65,15865.339999999998,17527.21999999999,18007.0
1775394482,123,18007,1110.658536585366,10,3176.5539680533084,47.0,318.0,6812.2,15862.92,17506.36000000001,18007.0
1775394512,124,18007,1101.7983870967741,10,3165.1528944429574,46.5,317.25,6810.75,15860.5,17485.5,18007.0
1775394542,125,18007,1093.064,10,3153.87652852189,46.0,316.5,6809.299999999999,15858.08,17464.63999999999,18007.0
1775394572,126,18007,1084.5238095238096,10,3142.69811649617,45.5,315.75,6807.849999999999,15855.66,17443.78000000001,18007.0
1775394602,127,18007,1076.0866141732283,10,3131.646017376921,45.0,315.0,6806.4,15853.24,17422.92,18007.0
1775394632,128,18007,1068.5078125,10,3120.47060098185,45.5,312.25,6804.95,15850.82,17402.059999999987,18007.0
1775394662,129,18007,1060.3178294573643,10,3109.6489527168096,45.0,309.5,6803.5,15848.4,17381.199999999975,18007.0
1775394692,130,18007,1052.2615384615385,10,3098.9342542981985,43.5,306.75,6802.049999999999,15845.98,17360.339999999997,18007.0
1775394722,131,18007,1044.2748091603053,6,3088.3454247153995,42.0,304.0,6800.599999999999,15843.559999999998,17339.480000000014,18007.0
1775394752,132,18007,1036.4166666666667,6,3077.8596931491966,41.5,295.0,6799.15,15841.140000000001,17318.619999999974,18007.0
1775394782,133,18007,1028.827067669173,6,3067.4280004671127,41.0,286.0,6797.7,15838.72,17297.759999999995,18007.0
1775394812,134,18007,1021.2313432835821,6,3057.1392591501744,41.0,277.0,6796.25,15836.300000000001,17276.900000000012,18007.0
1775394842,135,18007,1013.7259259259259,6,3046.958837212297,41.0,268.0,6794.799999999999,15833.880000000001,17256.03999999997,18007.0
