t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775393281,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393311,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393341,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393371,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393401,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393431,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393461,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393491,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393521,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393552,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393582,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393612,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393642,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393672,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393702,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393732,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393762,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393792,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393822,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393852,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393882,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393912,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393942,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393972,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394002,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394032,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394062,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394092,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394122,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394152,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394182,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394212,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394242,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394272,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394302,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394332,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394362,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394392,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394422,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775394452,84,13766,316.2738095238095,4,1518.500928120686,9.0,159.5,1018.5,5284.099999999966,13766.0,13766.0
1775394482,1253,13766,33.2431906614786,1,437.4749971459876,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394512,1254,13766,33.2431906614786,1,437.4749971459876,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394542,1254,13766,33.2431906614786,1,437.4749971459876,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394572,1255,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394602,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394632,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394662,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394692,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394722,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394752,1256,13766,33.249027237354085,1,437.4746599967443,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394782,1257,13766,33.268482490272376,1,437.4736691465288,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394812,1257,13766,33.268482490272376,1,437.4736691465288,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
1775394842,1257,13766,33.268482490272376,1,437.4736691465288,3.0,4.0,106.64999999999986,332.91999999999894,446.1300000000001,13414.607000000044
