t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775393311,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393341,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393371,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393401,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393431,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393461,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393491,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393521,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393552,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393582,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393612,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393642,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393672,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393702,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393732,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393762,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393792,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393822,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393852,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393882,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393912,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393942,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393972,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394002,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394032,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394062,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394092,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394122,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775394152,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
